run_label,prompt_id,prompt,target_text,camera_index,returncode,session_dir,run_total_s,placement_total_including_gen_s,placement_total_excluding_gen_s,gemini_total_s,hunyuan_total_s,optimization_total_s,clip_directional_similarity_pre,clip_text_directional_similarity_pre,dino_similarity_pre,background_ssim_pre,clip_directional_similarity_post,clip_text_directional_similarity_post,dino_similarity_post,background_ssim_post,eval_available,eval_pre_errors,eval_post_errors,error
run_01_baseline,baseline,"no added object, keep the scene unchanged",A real-estate scene,11,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_182836,223.45775747299194,222.60938382148743,222.6093521118164,1.9073486328125e-05,1.2636184692382812e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_02_car_center_red,car_center_red,a red car parked in the middle of the scene,A real-estate scene with a red car parked in the middle,2,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_183310,241.93897414207458,240.9766538143158,240.97662377357483,1.7404556274414062e-05,1.2636184692382812e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_03_car_left_blue,car_left_blue,a compact blue car on the left side near the walkway,A real-estate scene with a compact blue car on the left side,1,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_183759,266.3019070625305,262.2050232887268,262.2028982639313,0.0016155242919921875,0.0005095005035400391,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_04_car_right_white,car_right_white,a white car placed on the right side of the courtyard,A real-estate scene with a white car on the right side,12,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184318,238.4299087524414,237.62593507766724,237.625896692276,2.5272369384765625e-05,1.3113021850585938e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_05_bench_modern,bench_modern,a modern wooden bench near the central open area,A real-estate scene with a modern wooden bench,5,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759,245.10695266723633,244.40936398506165,244.40932369232178,1.9550323486328125e-05,2.0742416381835938e-05,,,,,,,,,,False,"{""worker"": ""Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]\nLoading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 398/398 [00:00<00:00, 72482.00it/s]\n\u001b[1mCLIPModel LOAD REPORT\u001b[0m from: openai/clip-vit-base-patch32\nKey                                  | Status     |  | \n-------------------------------------+------------+--+-\nvision_model.embeddings.position_ids | UNEXPECTED |  | \ntext_model.embeddings.position_ids   | UNEXPECTED |  | \n\n\u001b[3mNotes:\n- UNEXPECTED\u001b[3m\t:can be ignored when loading from different task/architecture; not ok if you expect identical arch.\u001b[0m\nThe image processor of type `CLIPImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. \n\nLoading weights:   0%|          | 0/398 [00:00<?, ?it/s]\nLoading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 398/398 [00:00<00:00, 38054.41it/s]\n\u001b[1mCLIPModel LOAD REPORT\u001b[0m from: openai/clip-vit-base-patch32\nKey                                  | Status     |  | \n-------------------------------------+------------+--+-\nvision_model.embeddings.position_ids | UNEXPECTED |  | \ntext_model.embeddings.position_ids   | UNEXPECTED |  | \n\n\u001b[3mNotes:\n- UNEXPECTED\u001b[3m\t:can be ignored when loading from different task/architecture; not ok if you expect identical arch.\u001b[0m\nTraceback (most recent call last):\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py\"", line 92, in <module>\n    raise SystemExit(main())\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py\"", line 41, in main\n    from metrics import (\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/DG_3DPlace_Evaluation/metrics/__init__.py\"", line 3, in <module>\n    from .dino_metric import dino_similarity\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/DG_3DPlace_Evaluation/metrics/dino_metric.py\"", line 10, in <module>\n    dinov2 = torch.hub.load('facebookresearch/dinov2', 'dinov2_vits14')\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 647, in load\n    repo_or_dir = _get_cache_or_reload(\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 234, in _get_cache_or_reload\n    repo_owner, repo_name, ref = _parse_repo_info(github)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 161, in _parse_repo_info\n    with urlopen(f\""https://github.com/{repo_owner}/{repo_name}/tree/main/\""):\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 216, in urlopen\n    return opener.open(url, data, timeout)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 525, in open\n    response = meth(req, response)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 634, in http_response\n    response = self.parent.error(\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 563, in error\n    return self._call_chain(*args)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 496, in _call_chain\n    result = func(*args)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 643, in http_error_default\n    raise HTTPError(req.full_url, code, msg, hdrs, fp)\nurllib.error.HTTPError: HTTP Error 504: Gateway Time-out\n\nERROR conda.cli.main_run:execute(127): `conda run python /home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py --project-root /home/cse_g2/RealEstateGen/DG-3DPlace --initial /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/selected_camera_view.png --diffusion /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/gemini_diffusion_added.png --final /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/final_view_with_object.png --source-text A real-estate scene --target-text A real-estate scene with a modern wooden bench` failed. (See above for error)""}","{""worker"": ""Loading weights:   0%|          | 0/398 [00:00<?, ?it/s]\nLoading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 398/398 [00:00<00:00, 74861.34it/s]\n\u001b[1mCLIPModel LOAD REPORT\u001b[0m from: openai/clip-vit-base-patch32\nKey                                  | Status     |  | \n-------------------------------------+------------+--+-\ntext_model.embeddings.position_ids   | UNEXPECTED |  | \nvision_model.embeddings.position_ids | UNEXPECTED |  | \n\n\u001b[3mNotes:\n- UNEXPECTED\u001b[3m\t:can be ignored when loading from different task/architecture; not ok if you expect identical arch.\u001b[0m\nThe image processor of type `CLIPImageProcessor` is now loaded as a fast processor by default, even if the model checkpoint was saved with a slow processor. This is a breaking change and may produce slightly different outputs. To continue using the slow processor, instantiate this class with `use_fast=False`. \n\nLoading weights:   0%|          | 0/398 [00:00<?, ?it/s]\nLoading weights: 100%|\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588\u2588| 398/398 [00:00<00:00, 42707.05it/s]\n\u001b[1mCLIPModel LOAD REPORT\u001b[0m from: openai/clip-vit-base-patch32\nKey                                  | Status     |  | \n-------------------------------------+------------+--+-\ntext_model.embeddings.position_ids   | UNEXPECTED |  | \nvision_model.embeddings.position_ids | UNEXPECTED |  | \n\n\u001b[3mNotes:\n- UNEXPECTED\u001b[3m\t:can be ignored when loading from different task/architecture; not ok if you expect identical arch.\u001b[0m\nTraceback (most recent call last):\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py\"", line 92, in <module>\n    raise SystemExit(main())\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py\"", line 41, in main\n    from metrics import (\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/DG_3DPlace_Evaluation/metrics/__init__.py\"", line 3, in <module>\n    from .dino_metric import dino_similarity\n  File \""/home/cse_g2/RealEstateGen/DG-3DPlace/DG_3DPlace_Evaluation/metrics/dino_metric.py\"", line 10, in <module>\n    dinov2 = torch.hub.load('facebookresearch/dinov2', 'dinov2_vits14')\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 647, in load\n    repo_or_dir = _get_cache_or_reload(\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 234, in _get_cache_or_reload\n    repo_owner, repo_name, ref = _parse_repo_info(github)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/site-packages/torch/hub.py\"", line 161, in _parse_repo_info\n    with urlopen(f\""https://github.com/{repo_owner}/{repo_name}/tree/main/\""):\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 216, in urlopen\n    return opener.open(url, data, timeout)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 525, in open\n    response = meth(req, response)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 634, in http_response\n    response = self.parent.error(\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 563, in error\n    return self._call_chain(*args)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 496, in _call_chain\n    result = func(*args)\n  File \""/home/cse_g2/miniconda3/envs/dg3d_eval/lib/python3.10/urllib/request.py\"", line 643, in http_error_default\n    raise HTTPError(req.full_url, code, msg, hdrs, fp)\nurllib.error.HTTPError: HTTP Error 504: Gateway Time-out\n\nERROR conda.cli.main_run:execute(127): `conda run python /home/cse_g2/RealEstateGen/DG-3DPlace/experiments/paper_automation/eval_worker.py --project-root /home/cse_g2/RealEstateGen/DG-3DPlace --initial /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/selected_camera_view.png --diffusion /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/gemini_diffusion_added.png --final /home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_184759/final_view_with_object.png --source-text A real-estate scene --target-text A real-estate scene with a modern wooden bench` failed. (See above for error)""}",
run_06_bench_long,bench_long,a long minimalist bench near the garden edge,A real-estate scene with a long minimalist bench,4,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_185252,232.5308656692505,231.65453338623047,231.65449237823486,2.6702880859375e-05,1.430511474609375e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_07_planter_green,planter_green,a large green planter with foliage near the front,A real-estate scene with a large green planter,4,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_185724,283.09524869918823,282.468905210495,282.46857142448425,0.00011610984802246094,0.00021767616271972656,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_08_chair_white,chair_white,a white lounge chair near the right side,A real-estate scene with a white lounge chair,3,0,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190251,244.15339946746826,243.2879753112793,243.28792309761047,3.6716461181640625e-05,1.5497207641601562e-05,,,,,,,,,,False,"{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}","{""worker"": ""JSON parse failure: Extra data: line 2 column 1 (char 3)""}",
run_09_chair_black,chair_black,a black lounge chair near the seating area,A real-estate scene with a black lounge chair,12,1,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190732,8.466089963912964,,,,,,,,,,,,,,False,,,
run_10_table_round,table_round,a round coffee table beside the seating area,A real-estate scene with a round coffee table,2,1,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190740,3.6455981731414795,,,,,,,,,,,,,,False,,,
run_11_sofa_gray,sofa_gray,a gray two-seater sofa close to the center,A real-estate scene with a gray two-seater sofa,11,1,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190744,2.262146472930908,,,,,,,,,,,,,,False,,,
run_12_vase_decor,vase_decor,a decorative ceramic vase near the bench,A real-estate scene with a decorative ceramic vase,12,1,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190746,2.2500123977661133,,,,,,,,,,,,,,False,,,
run_13_lamp_floor,lamp_floor,a tall floor lamp near the corner of the room,A real-estate scene with a tall floor lamp,15,1,/home/cse_g2/RealEstateGen/DG-3DPlace/placement_4/session_20260418_190748,2.2908082008361816,,,,,,,,,,,,,,False,,,
